City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
81,Vao,NC,73.04,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
82,Basco,PH,79.21,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
84,Sechura,PE,74.88,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
85,Pasni,PK,78.71,scattered clouds,25.2631,63.471,Kashmiri Hotal
87,Naze,JP,67.12,overcast clouds,28.3667,129.4833,Shishime Hotel
88,Martapura,ID,75.29,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
90,Saint-Francois,FR,63.84,clear sky,46.4154,3.9054,Maison Vin d'Hus
91,Labuhan,ID,79.03,moderate rain,-6.8844,112.2051,DoubleFAG
93,Butaritari,KI,80.73,light rain,3.0707,172.7902,Isles Sunset Lodge
94,Lompoc,US,84.02,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
95,Muros,ES,63.84,clear sky,42.7762,-9.0603,Apartment Av. Castelao
97,Victoria,HK,77.05,overcast clouds,22.2855,114.1577,Mini Central
100,Santa Helena,BR,84.34,broken clouds,-2.2311,-45.3,Turi Plaza Hotel
101,Maningrida,AU,81.86,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
102,Limoges,FR,64.96,clear sky,45.75,1.3333,La Gratade
103,Zyrardow,PL,62.8,broken clouds,52.0488,20.446,"Aparthotel Stara Przędzalnia - Hotel, Szkolenia, Konferencje, Wesela"
105,Durant,US,68.74,clear sky,33.994,-96.3708,"Holiday Inn Express & Suites Durant, an IHG Hotel"
106,Laguna,US,80.64,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
110,Mount Isa,AU,74.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
112,Yanam,IN,76.59,overcast clouds,16.7333,82.2167,The Regency Hotel
117,Kutum,SD,75.72,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
118,Sri Aman,MY,72.59,moderate rain,1.2376,111.4621,Seri Simanggang Hotel
120,Sao Filipe,CV,78.1,overcast clouds,14.8961,-24.4956,Hotel Xaguate
121,Port Elizabeth,ZA,64.69,overcast clouds,-33.918,25.5701,39 On Nile Guest House
123,Bac Lieu,VN,76.06,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
124,Acapulco,MX,84.4,light rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
126,Boa Vista,BR,76.98,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
127,Kruisfontein,ZA,61.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
130,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
131,Kangaba,ML,78.06,broken clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
132,Belz,FR,61.09,broken clouds,47.6751,-3.168,L'Arbre Voyageur
133,Zhuhai,CN,76.78,light rain,22.2769,113.5678,珠海粤财假日酒店
134,Blackwater,AU,70.77,broken clouds,-23.5833,148.8833,Blackwater Motor Inn
136,East London,ZA,67.44,clear sky,-33.0153,27.9116,Tu Casa
138,Ambulu,ID,75.09,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
139,Buin,CL,71.11,clear sky,-33.7333,-70.75,Paihuen
142,Puerto Ayora,EC,67.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
144,Barmer,IN,78.96,clear sky,25.75,71.3833,Jain Dharamshala
147,Tual,ID,83.46,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
148,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
149,Bathsheba,BB,82.58,clear sky,13.2167,-59.5167,Atlantis Hotel
154,Siniscola,IT,62.15,overcast clouds,40.5719,9.6922,Hotel Sa Tanca E Bore
155,Caravelas,BR,75.18,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
156,Palpa,PE,79.65,clear sky,-14.5336,-75.1856,Palpa Lines
157,Winburg,ZA,63.36,overcast clouds,-28.518,27.0093,Hotel Winburg
158,Ishigaki,JP,74.03,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
159,Ponta Do Sol,PT,74.03,light rain,32.6667,-17.1,Hotel do Campo
161,Vanimo,PG,77.63,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
162,Kiunga,PG,73.85,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
164,Puerto Baquerizo Moreno,EC,67.95,broken clouds,-0.9,-89.6,Hotel los Algarrobos
167,Carnarvon,AU,62.38,clear sky,-24.8667,113.6333,Hospitality Carnarvon
168,Mahebourg,MU,70.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
169,Paracale,PH,77.43,overcast clouds,14.2804,122.7881,Waling Waling center Paracale
170,Guerrero Negro,MX,79.12,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
176,Vaini,TO,76.48,few clouds,-21.2,-175.2,Keleti Beach Resort
177,Bethel,US,64.76,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
182,Presidencia Roque Saenz Pena,AR,61.65,light rain,-26.7852,-60.4388,Hotel Gualok
186,Bilma,NE,82.24,clear sky,18.6853,12.9164,Expeditions Ténére voyages
